Rank,Player (Bye),POS
1,Jahmyr Gibbs  DET (6),RB1
2,Bijan Robinson  ATL (11),RB2
3,Puka Nacua  LAR (11),WR1
4,Ja'Marr Chase  CIN (6),WR2
5,Jaxon Smith-Njigba  SEA (11),WR3
6,Christian McCaffrey  SF (8),RB3
7,Amon-Ra St. Brown  DET (6),WR4
8,Jonathan Taylor  IND (13),RB4
9,De'Von Achane  MIA (6),RB5
10,CeeDee Lamb  DAL (14),WR5
11,Justin Jefferson  MIN (6),WR6
12,James Cook III  BUF (7),RB6
13,Drake London  ATL (11),WR7
14,Chase Brown  CIN (6),RB7
15,Rashee Rice  KC (5),WR8
16,Derrick Henry  BAL (13),RB8
17,A.J. Brown  NE (11),WR9
18,Saquon Barkley  PHI (10),RB9
19,Chris Olave  NO (8),WR10
20,George Pickens  DAL (14),WR11
21,Ashton Jeanty  LV (13),RB10
22,Nico Collins  HOU (8),WR12
23,Kenneth Walker  KC (5),RB11
24,Omarion Hampton  LAC (7),RB12
25,Zay Flowers  BAL (13),WR13
26,Malik Nabers  NYG (8),WR14
27,Garrett Wilson  NYJ (13),WR15
28,Jeremiyah Love  ARI (14),RB13
29,Trey McBride  ARI (14),TE1
30,DeVonta Smith  PHI (10),WR16
31,Tetairoa McMillan  CAR (5),WR17
32,Kyren Williams  LAR (11),RB14
33,Breece Hall  NYJ (13),RB15
34,Josh Allen  BUF (7),QB1
35,Brock Bowers  LV (13),TE2
36,Emeka Egbuka  TB (10),WR18
37,Tee Higgins  CIN (6),WR19
38,Javonte Williams  DAL (14),RB16
39,Travis Etienne Jr.  NO (8),RB17
40,Ladd McConkey  LAC (7),WR20
41,Cam Skattebo  NYG (8),RB18
42,Davante Adams  LAR (11),WR21
43,Josh Jacobs  GB (11),RB19
44,Jaylen Waddle  DEN (10),WR22
45,D'Andre Swift  CHI (10),RB20
46,Jameson Williams  DET (6),WR23
47,Bucky Irving  TB (10),RB21
48,DJ Moore  BUF (7),WR24
49,Terry McLaurin  WAS (7),WR25
50,Quinshon Judkins  CLE (11),RB22
51,Drake Maye  NE (11),QB2
52,Bhayshul Tuten  JAX (7),RB23
53,Luther Burden III  CHI (10),WR26
54,Rome Odunze  CHI (10),WR27
55,Mike Evans  SF (8),WR28
56,Colston Loveland  CHI (10),TE3
57,Joe Burrow  CIN (6),QB3
58,David Montgomery  HOU (8),RB24
59,Lamar Jackson  BAL (13),QB4
60,Christian Watson  GB (11),WR29
61,Courtland Sutton  DEN (10),WR30
62,Rhamondre Stevenson  NE (11),RB25
63,Jaylen Warren  PIT (9),RB26
64,Parker Washington  JAX (7),WR31
65,Marvin Harrison Jr.  ARI (14),WR32
66,TreVeyon Henderson  NE (11),RB27
67,Dak Prescott  DAL (14),QB5
68,Tyler Warren  IND (13),TE4
69,DK Metcalf  PIT (9),WR33
70,Tony Pollard  TEN (9),RB28
71,Alec Pierce  IND (13),WR34
72,Brian Thomas Jr.  JAX (7),WR35
73,Jayden Daniels  WAS (7),QB6
74,Jadarian Price  SEA (11),RB29
75,Michael Wilson  ARI (14),WR36
76,Rico Dowdle  PIT (9),RB30
77,Harold Fannin Jr.  CLE (11),TE5
78,Matthew Stafford  LAR (11),QB7
79,Michael Pittman Jr.  PIT (9),WR37
80,Jalen Hurts  PHI (10),QB8
81,Chris Godwin Jr.  TB (10),WR38
82,Carnell Tate  TEN (9),WR39
83,Kyle Pitts Sr.  ATL (11),TE6
84,Seattle Defense  SEA (11),DEF1
85,Chuba Hubbard  CAR (5),RB31
86,Wan'Dale Robinson  TEN (9),WR40
87,Brock Purdy  SF (8),QB9
88,Jakobi Meyers  JAX (7),WR41
89,Denver Defense  DEN (10),DEF2
90,Caleb Williams  CHI (10),QB10
91,J.K. Dobbins  DEN (10),RB32
92,Josh Downs  IND (13),WR42
93,Kenny Gainwell  TB (10),RB33
94,Trevor Lawrence  JAX (7),QB11
95,Jayden Reed  GB (11),WR43
96,Stefon Diggs  WAS (7),WR44
97,George Kittle  SF (8),TE7
98,Jonathon Brooks  CAR (5),RB34
99,Quentin Johnston  LAC (7),WR45
100,RJ Harvey  DEN (10),RB35
101,Jordan Addison  MIN (6),WR46
102,Houston Defense  HOU (8),DEF3
103,Tucker Kraft  GB (11),TE8
104,Jared Goff  DET (6),QB12
105,Khalil Shakir  BUF (7),WR47
106,Patrick Mahomes  KC (5),QB13
107,Justin Herbert  LAC (7),QB14
108,Xavier Worthy  KC (5),WR48
109,LA Rams Defense  LAR (11),DEF4
110,Aaron Jones Sr.  MIN (6),RB36
111,Travis Kelce  KC (5),TE9
112,Matthew Golden  GB (11),WR49
113,Romeo Doubs  NE (11),WR50
114,Deebo Samuel Sr.  SF (8),WR51
115,Kyle Monangai  CHI (10),RB37
116,Dallas Goedert  PHI (10),TE10
117,Sam LaPorta  DET (6),TE11
118,Bo Nix  DEN (10),QB15
119,Minnesota Defense  MIN (6),DEF5
120,Jordan Mason  MIN (6),RB38
121,Jacory Croskey-Merritt  WAS (7),RB39
122,Rachaad White  WAS (7),RB40
123,KC Concepcion  CLE (11),WR52
124,Jaxson Dart  NYG (8),QB16
125,Jalen Coker  CAR (5),WR53
126,Blake Corum  LAR (11),RB41
127,De'Zhaun Stribling  SF (8),WR54
128,Makai Lemon  PHI (10),WR55
129,Rashid Shaheed  SEA (11),WR56
130,Brandon Aubrey  DAL (14),PK1
131,Detroit Defense  DET (6),DEF6
132,Jerry Jeudy  CLE (11),WR57
133,Baker Mayfield  TB (10),QB17
134,Tyjae Spears  TEN (9),RB42
135,New England Defense  NE (11),DEF7
136,MarShawn Lloyd  GB (11),RB43
137,Tre Tucker  LV (13),WR58
138,Mark Andrews  BAL (13),TE12
139,Jake Ferguson  DAL (14),TE13
140,Keenan Allen  IND (13),WR59
141,Philadelphia Defense  PHI (10),DEF8
142,Kyler Murray  MIN (6),QB18
143,Zach Charbonnet  SEA (11),RB44
144,Chimere Dike  TEN (9),WR60
145,Denzel Boston  CLE (11),WR61
146,Ka'imi Fairbairn  HOU (8),PK2
147,Tyler Shough  NO (8),QB19
148,Isaiah Likely  NYG (8),TE14
149,Jalen McMillan  TB (10),WR62
150,Samaje Perine  CIN (6),RB45
151,Jason Myers  SEA (11),PK3
152,Pittsburgh Defense  PIT (9),DEF9
153,Woody Marks  HOU (8),RB46
154,LA Chargers Defense  LAC (7),DEF10
155,Jordan Love  GB (11),QB20
156,Cameron Dicker  LAC (7),PK4
157,Jauan Jennings  MIN (6),WR63
158,Sam Darnold  SEA (11),QB21
159,Dalton Kincaid  BUF (7),TE15
160,NY Jets Defense  NYJ (13),DEF11
161,Mike Washington Jr.  LV (13),RB47
162,Harrison Mevis  LAR (11),PK5
163,Jake Bates  DET (6),PK6
164,Cyrus Allen  KC (5),WR64
165,Malik Washington  MIA (6),WR65
166,San Francisco Defense  SF (8),DEF12
167,Chris Boswell  PIT (9),PK7
168,Jonah Coleman  DEN (10),RB48
169,Jordan James  SF (8),RB49
170,Fernando Mendoza  LV (13),QB22
171,Calvin Ridley  TEN (9),WR66
172,Chase McLaughlin  TB (10),PK8
173,Juwan Johnson  NO (8),TE16
174,Cam Little  JAX (7),PK9
175,Malachi Fields  NYG (8),WR67
176,Jacksonville Defense  JAX (7),DEF13
