Team,Win Total,Over Odds,Under Odds,Week Bet Settled,Actual Wins,Result
Arizona Cardinals,4.5,140,-160,Week 18,4,Under
Atlanta Falcons,8.5,-155,135,Week 17,7,Under
Baltimore Ravens,10.0,-130,110,Week 15,13,Over
Buffalo Bills,10.5,-140,120,Week 18,11,Over
Carolina Panthers,7.5,115,-135,Week 12,2,Under
Chicago Bears,7.5,-140,120,Week 18,7,Under
Cincinnati Bengals,11.0,100,-120,Week 16,9,Under
Cleveland Browns,9.0,-140,120,Week 16,11,Over
Dallas Cowboys,10.0,-130,110,Week 16,12,Over
Denver Broncos,8.5,110,-130,Week 18,8,Under
Detroit Lions,9.5,-120,100,Week 15,12,Over
Green Bay Packers,7.5,-145,125,Week 16,9,Over
Houston Texans,6.5,130,-150,Week 13,10,Over
Indianapolis Colts,6.5,-120,100,Week 13,9,Over
Jacksonville Jaguars,9.5,-140,120,Week 18,9,Under
Kansas City Chiefs,11.5,-120,100,Week 16,11,Under
Las Vegas Raiders,6.5,110,-130,Week 16,8,Over
Los Angeles Chargers,9.5,-130,110,Week 14,5,Under
Los Angeles Rams,6.5,110,-130,Week 15,10,Over
Miami Dolphins,9.5,100,-120,Week 15,11,Over
Minnesota Vikings,8.5,-130,110,Week 17,7,Under
New England Patriots,7.5,130,-150,Week 13,4,Under
New Orleans Saints,9.5,-110,-110,Week 16,9,Under
New York Giants,7.5,-120,100,Week 16,6,Under
New York Jets,9.5,-125,105,Week 13,7,Under
Philadelphia Eagles,11.5,105,-125,Week 18,11,Under
Pittsburgh Steelers,9.0,100,-120,Week 18,10,Over
San Francisco 49ers,11.0,120,-140,Week 17,12,Over
Seattle Seahawks,9.0,100,-120,Week 18,9,Push
Tampa Bay Buccaneers,6.0,-150,130,Week 15,9,Over
Tennessee Titans,7.5,-120,100,Week 16,6,Under
Washington Commanders,6.5,105,-125,Week 16,4,Under
