Team,Season,Coach,QB,Actual,Vegas Total,Adj. Total,Result,Over,Under,Hold,Over,Under,Team,Opponent
LAR,2026,Sean McVay,,0,11.5,11.5624,Active,-125,105,0.0434,0.5325,0.4675,1.6852,0.0426588
BAL,2026,Jesse Minter,,0,11.5,11.3913,Active,115,-140,0.0484,0.4436,0.5564,1.5907,-0.104065
BUF,2026,Sean McDermott,,0,10.5,10.5418,Active,-120,100,0.0455,0.5217,0.4783,1.1217,0.00930001
SEA,2026,Mike Macdonald,,0,10.5,10.5208,Active,-115,-105,0.0471,0.5108,0.4892,1.1102,0.068247
DET,2026,Dan Campbell,,0,10.5,10.5208,Active,-115,-105,0.0471,0.5108,0.4892,1.1102,-0.361718
PHI,2026,Nick Sirianni,,0,10.5,10.3913,Active,115,-140,0.0484,0.4436,0.5564,1.0387,-0.0952294
CIN,2026,Zac Taylor,,0,10.5,10.3913,Active,115,-140,0.0484,0.4436,0.5564,1.0387,-0.301647
NE,2026,Mike Vrabel,,0,10.5,10.3913,Active,115,-140,0.0484,0.4436,0.5564,1.0387,-0.144635
KC,2026,Andy Reid,,0,10.5,10.3913,Active,115,-140,0.0484,0.4436,0.5564,1.0387,-0.141276
HOU,2026,DeMeco Ryans,,0,9.5,9.6367,Active,-146,124,0.0399,0.5707,0.4293,0.6221,0.0348588
SF,2026,Kyle Shanahan,,0,9.5,9.628,Active,-146,120,0.048,0.5663,0.4337,0.6173,-0.122865
LAC,2026,Jim Harbaugh,,0,9.5,9.6087,Active,-140,115,0.0484,0.5564,0.4436,0.6066,0.0409118
GB,2026,Matt LaFleur,,0,9.5,9.5823,Active,-130,110,0.0414,0.5427,0.4573,0.592,0.123188
DEN,2026,Sean Payton,,0,9.5,9.5208,Active,-115,-105,0.0471,0.5108,0.4892,0.5581,-0.115735
CHI,2026,Ben Johnson,,0,9.5,9.4376,Active,105,-125,0.0434,0.4675,0.5325,0.5121,0.0964294
DAL,2026,Brian Schottenheimer,,0,9.5,9.4376,Active,105,-125,0.0434,0.4675,0.5325,0.5121,0.100465
JAX,2026,Liam Coen,,0,8.5,8.6109,Active,-140,116,0.0463,0.5575,0.4425,0.0558,0.0890471
MIN,2026,Kevin O'Connell,,0,8.5,8.5418,Active,-120,100,0.0455,0.5217,0.4783,0.0176,-0.00150587
PIT,2026,Mike McCarthy,,0,8.5,8.4177,Active,110,-130,0.0414,0.4573,0.5427,-0.0509,0.112306
TB,2026,Todd Bowles,,0,8.5,8.3972,Active,115,-136,0.0414,0.4466,0.5534,-0.0622,0.144976
IND,2026,Shane Steichen,,0,7.5,7.6087,Active,-140,115,0.0484,0.5564,0.4436,-0.4975,-0.0661412
NO,2026,Kellen Moore,,0,7.5,7.5418,Active,-120,100,0.0455,0.5217,0.4783,-0.5345,-0.250129
NYG,2026,John Harbaugh,,0,7.5,7.5,Active,-110,-110,0.0476,0.5,0.5,-0.5575,0.0410235
WAS,2026,Dan Quinn,,0,7.5,7.4792,Active,-105,-115,0.0471,0.4892,0.5108,-0.569,0.128371
CAR,2026,Dave Canales,,0,7.5,7.3972,Active,115,-136,0.0414,0.4466,0.5534,-0.6143,0.204229
ATL,2026,Raheem Morris,,0,7.5,7.3803,Active,120,-140,0.0379,0.438,0.562,-0.6236,0.110029
TEN,2026,Robert Saleh,,0,6.5,6.4792,Active,-105,-115,0.0471,0.4892,0.5108,-1.1211,-0.0212176
OAK,2026,Klint Kubliak,,0,5.5,5.628,Active,-146,120,0.048,0.5663,0.4337,-1.591,-0.0188471
CLE,2026,Todd Monken,,0,5.5,5.6028,Active,-136,115,0.0414,0.5534,0.4466,-1.6049,-0.0826706
NYJ,2026,Aaron Glenn,,0,5.5,5.5418,Active,-120,100,0.0455,0.5217,0.4783,-1.6386,-0.214959
MIA,2026,Jeff Hafley,,0,3.5,3.6332,Active,-150,120,0.0545,0.569,0.431,-2.6922,0.296847
ARI,2026,Jonathan Gannon,,0,3.5,3.6028,Active,-136,115,0.0414,0.5534,0.4466,-2.709,0.399953
