season,team_code,franchise_code,team_name,data_source
1970,STL,ARI,St. Louis Cardinals,legacy_yearly
1970,ATL,ATL,Atlanta Falcons,legacy_yearly
1970,BUF,BUF,Buffalo Bills,legacy_yearly
1970,CHI,CHI,Chicago Bears,legacy_yearly
1970,CIN,CIN,Cincinnati Bengals,legacy_yearly
1970,CLE,CLE,Cleveland Browns,legacy_yearly
1970,DAL,DAL,Dallas Cowboys,legacy_yearly
1970,DEN,DEN,Denver Broncos,legacy_yearly
1970,DET,DET,Detroit Lions,legacy_yearly
1970,GNB,GB,Green Bay Packers,legacy_yearly
1970,BAL,IND,Baltimore Colts,legacy_yearly
1970,KAN,KC,Kansas City Chiefs,legacy_yearly
1970,SDG,LAC,San Diego Chargers,legacy_yearly
1970,RAM,LAR,Los Angeles Rams,legacy_yearly
1970,OAK,LV,Oakland Raiders,legacy_yearly
1970,MIA,MIA,Miami Dolphins,legacy_yearly
1970,MIN,MIN,Minnesota Vikings,legacy_yearly
1970,BOS,NE,Boston Patriots,legacy_yearly
1970,NOR,NO,New Orleans Saints,legacy_yearly
1970,NYG,NYG,New York Giants,legacy_yearly
1970,NYJ,NYJ,New York Jets,legacy_yearly
1970,PHI,PHI,Philadelphia Eagles,legacy_yearly
1970,PIT,PIT,Pittsburgh Steelers,legacy_yearly
1970,SFO,SF,San Francisco 49ers,legacy_yearly
1970,HOU,TEN,Houston Oilers,legacy_yearly
1970,WAS,WAS,Washington Redskins,legacy_yearly
1971,STL,ARI,St. Louis Cardinals,legacy_yearly
1971,ATL,ATL,Atlanta Falcons,legacy_yearly
1971,BUF,BUF,Buffalo Bills,legacy_yearly
1971,CHI,CHI,Chicago Bears,legacy_yearly
1971,CIN,CIN,Cincinnati Bengals,legacy_yearly
1971,CLE,CLE,Cleveland Browns,legacy_yearly
1971,DAL,DAL,Dallas Cowboys,legacy_yearly
1971,DEN,DEN,Denver Broncos,legacy_yearly
1971,DET,DET,Detroit Lions,legacy_yearly
1971,GNB,GB,Green Bay Packers,legacy_yearly
1971,BAL,IND,Baltimore Colts,legacy_yearly
1971,KAN,KC,Kansas City Chiefs,legacy_yearly
1971,SDG,LAC,San Diego Chargers,legacy_yearly
1971,RAM,LAR,Los Angeles Rams,legacy_yearly
1971,OAK,LV,Oakland Raiders,legacy_yearly
1971,MIA,MIA,Miami Dolphins,legacy_yearly
1971,MIN,MIN,Minnesota Vikings,legacy_yearly
1971,NWE,NE,New England Patriots,legacy_yearly
1971,NOR,NO,New Orleans Saints,legacy_yearly
1971,NYG,NYG,New York Giants,legacy_yearly
1971,NYJ,NYJ,New York Jets,legacy_yearly
1971,PHI,PHI,Philadelphia Eagles,legacy_yearly
1971,PIT,PIT,Pittsburgh Steelers,legacy_yearly
1971,SFO,SF,San Francisco 49ers,legacy_yearly
1971,HOU,TEN,Houston Oilers,legacy_yearly
1971,WAS,WAS,Washington Redskins,legacy_yearly
1972,STL,ARI,St. Louis Cardinals,legacy_yearly
1972,ATL,ATL,Atlanta Falcons,legacy_yearly
1972,BUF,BUF,Buffalo Bills,legacy_yearly
1972,CHI,CHI,Chicago Bears,legacy_yearly
1972,CIN,CIN,Cincinnati Bengals,legacy_yearly
1972,CLE,CLE,Cleveland Browns,legacy_yearly
1972,DAL,DAL,Dallas Cowboys,legacy_yearly
1972,DEN,DEN,Denver Broncos,legacy_yearly
1972,DET,DET,Detroit Lions,legacy_yearly
1972,GNB,GB,Green Bay Packers,legacy_yearly
1972,BAL,IND,Baltimore Colts,legacy_yearly
1972,KAN,KC,Kansas City Chiefs,legacy_yearly
1972,SDG,LAC,San Diego Chargers,legacy_yearly
1972,RAM,LAR,Los Angeles Rams,legacy_yearly
1972,OAK,LV,Oakland Raiders,legacy_yearly
1972,MIA,MIA,Miami Dolphins,legacy_yearly
1972,MIN,MIN,Minnesota Vikings,legacy_yearly
1972,NWE,NE,New England Patriots,legacy_yearly
1972,NOR,NO,New Orleans Saints,legacy_yearly
1972,NYG,NYG,New York Giants,legacy_yearly
