stadium_id,stadium,latitude,longitude,note
NYC01,MetLife Stadium,40.8135,-74.0745,East Rutherford NJ
LAX01,SoFi Stadium,33.9535,-118.3392,Inglewood CA
HOU00,NRG Stadium,29.6847,-95.4107,Houston TX
IND00,Lucas Oil Stadium,39.7601,-86.1639,Indianapolis IN
DET00,Ford Field,42.3400,-83.0456,Detroit MI
BAL00,M&T Bank Stadium,39.2780,-76.6227,Baltimore MD
MIA00,Hard Rock Stadium,25.9580,-80.2389,Miami Gardens FL
DAL00,AT&T Stadium,32.7473,-97.0945,Arlington TX
CLE00,Huntington Bank Field,41.5061,-81.6995,Cleveland OH; FirstEnergy Stadium in earlier seasons
BOS00,Gillette Stadium,42.0909,-71.2643,Foxborough MA
NAS00,Nissan Stadium,36.1665,-86.7713,Nashville TN
WAS00,Northwest Stadium,38.9077,-76.8645,Landover MD; FedExField in earlier seasons
PHI00,Lincoln Financial Field,39.9008,-75.1675,Philadelphia PA
MIN01,U.S. Bank Stadium,44.9736,-93.2575,Minneapolis MN
CHI98,Soldier Field,41.8623,-87.6167,Chicago IL
GNB00,Lambeau Field,44.5013,-88.0622,Green Bay WI
CAR00,Bank of America Stadium,35.2258,-80.8528,Charlotte NC
BUF00,Highmark Stadium,42.7738,-78.7870,Orchard Park NY; New Era Field in earlier seasons
TAM00,Raymond James Stadium,27.9759,-82.5033,Tampa FL
NOR00,Caesars Superdome,29.9511,-90.0812,New Orleans LA; Mercedes-Benz Superdome in earlier seasons
SFO01,Levi's Stadium,37.4033,-121.9694,Santa Clara CA
ATL97,Mercedes-Benz Stadium,33.7554,-84.4008,Atlanta GA
PHO00,State Farm Stadium,33.5276,-112.2626,Glendale AZ; University of Phoenix Stadium in earlier seasons
JAX00,EverBank Stadium,30.3239,-81.6373,Jacksonville FL; EverBank/TIAA Bank Field in earlier seasons
DEN00,Empower Field at Mile High,39.7439,-105.0201,Denver CO; Sports Authority Field in earlier seasons
VEG00,Allegiant Stadium,36.0909,-115.1833,Paradise NV
PIT00,Acrisure Stadium,40.4468,-80.0158,Pittsburgh PA; Heinz Field in earlier seasons
CIN00,Paycor Stadium,39.0955,-84.5161,Cincinnati OH; Paul Brown Stadium in earlier seasons
SEA00,Lumen Field,47.5952,-122.3316,Seattle WA; CenturyLink Field in earlier seasons
KAN00,GEHA Field at Arrowhead Stadium,39.0489,-94.4839,Kansas City MO
LAX99,Los Angeles Memorial Coliseum,34.0141,-118.2879,Los Angeles CA; Rams 2016-2019
LAX97,Dignity Health Sports Park,33.8644,-118.2611,Carson CA; StubHub Center; Chargers 2017-2019
OAK00,Oakland-Alameda County Coliseum,37.7516,-122.2005,Oakland CA; Raiders through 2019
SDG00,Qualcomm Stadium,32.7831,-117.1196,San Diego CA; Chargers 2016
ATL00,Georgia Dome,33.7576,-84.4009,Atlanta GA; through 2016
LON00,Wembley Stadium,51.5560,-0.2795,London UK
LON01,Twickenham Stadium,51.4560,-0.3416,London UK
LON02,Tottenham Hotspur Stadium,51.6043,-0.0665,London UK
MEX00,Estadio Azteca,19.3029,-99.1505,Mexico City MX
GER00,Allianz Arena,48.2188,11.6247,Munich DE
FRA00,Deutsche Bank Park,50.0685,8.6455,Frankfurt DE
SAO00,Arena Corinthians,-23.5453,-46.4742,Sao Paulo BR
