overall,player_name,team,position,adp_rank,adp_drafted,projection,p10,p50,p90,model_only,projected_games,suspended_games,snap_share,pass_attempt_share,target_share,carry_share,pass_attempts,targets,carries,completion_rate,yards_per_attempt,pass_td_rate,pass_int_rate,catch_rate,yards_per_target,rec_td_rate,yards_per_carry,rush_td_rate,fumble_rate,fumble_lost_rate,pass_cmp,pass_yds,pass_td,pass_int,receptions,rec_yds,rec_td,rush_yds,rush_td,fumbles_lost,position_rank
1,Bijan Robinson,ATL,RB,2.0,1.0,313.48156274778347,160.40648701317573,319.90000000000003,448.9588875394217,341.80730000000005,14.519,0.0,0.5383256440252724,0.0,0.17834641664363107,0.6249253734432804,0.0,91.52625,292.85,,,,,0.7902197369928659,6.780361389637229,0.03345099676311642,4.6734477899916405,0.03204424971738571,0.00891718461750984,0.004450707197578108,0.0,0.0,0.0,0.0,72.37425,620.04475,3.08425,1361.55075,9.37125,1.72975,1
2,Jahmyr Gibbs,DET,RB,1.0,1.0,310.2506548881995,145.45000000000002,321.0654159935059,450.3206661437024,276.13867500000003,14.386,0.0,0.4727490547236451,0.0,0.15582079601450746,0.4469523285210357,0.0,82.756,199.4655,,,,,0.7999935151495017,6.222208572360767,0.03511395721787376,4.941110334701314,0.0371070145425413,0.006210871989979589,0.003099943968274348,0.0,0.0,0.0,0.0,66.145,514.0135,2.87675,983.14825,7.45425,0.85425,2
3,Ja'Marr Chase,CIN,WR,4.0,1.0,302.1964799100569,174.19000000000005,305.45,421.76446373237684,325.87142500000004,14.07225,0.0,0.6522403737311387,0.0,0.33915170399427064,0.005381439950689764,0.0,185.7575,2.2255,,,,,0.6612472245894868,8.007002708971154,0.04790945837011031,5.513146316267791,0.03264028770954269,0.00539552916636029,0.002692993531647698,0.0,0.0,0.0,0.0,122.905,1488.53875,8.921,12.3905,0.0675,0.52875,1
4,Puka Nacua,LAR,WR,3.0,1.0,290.7501813175806,155.06000000000003,296.2017012214356,410.43567792105546,259.820925,14.23375,0.0,0.6375172825479442,0.0,0.25914491967004977,0.016352394529595384,0.0,137.01775,7.593,,,,,0.6836932591537394,8.674194353379566,0.05141922741698846,5.795402267979506,0.0381428017475523,0.005503116551238716,0.002746692088847777,0.0,0.0,0.0,0.0,93.6785,1186.06475,7.035,43.4045,0.29575,0.3945,2
5,Josh Allen,BUF,QB,34.0,1.0,284.3620736687514,160.2009830489045,296.48,381.0957225011075,291.031795,14.79775,0.0,0.8013653796872259,0.9006451681143709,0.0,0.231448555529832,459.59425,0.0,119.6575,0.6652972266677273,7.492166066040989,0.0454654935639768,0.018246724208145177,,,,4.478561933339585,0.05673223782788356,0.012039599185227498,0.006009153454603624,305.786,3439.94925,20.83425,8.435,0.0,0.0,0.0,533.54325,6.77275,3.512,1
6,Drake Maye,NE,QB,51.0,1.0,277.4815668767535,166.67875587843218,280.05223553470495,376.7495667979993,280.22766500000006,14.94175,0.0,0.8168203674295539,0.8319116869345494,0.0,0.21796244397578857,436.2125,0.0,105.6175,0.6656276490066937,7.661745627538493,0.04932891898315246,0.01996172722162759,,,,5.055266290567118,0.049890599544778425,0.01291145416585335,0.006444309998284045,290.43225,3337.65975,21.4585,8.6405,0.0,0.0,0.0,533.89275,5.277,3.4415,2
7,Jaxon Smith-Njigba,SEA,WR,5.0,1.0,277.3804789214174,146.57000000000002,284.7526958861197,390.49782751061116,264.69342500000005,14.404,0.0,0.681482110833471,0.0,0.2945643202027886,0.010032777288876445,0.0,139.28675,4.711,,,,,0.6651312595017673,9.034632203430151,0.05216385653961039,5.66508680085093,0.03496074533322375,0.010357367890321427,0.005169525337279706,0.0,0.0,0.0,0.0,92.71275,1261.24325,7.26875,26.4435,0.1775,0.73275,3
8,Amon-Ra St. Brown,DET,WR,7.0,1.0,277.2215455869411,152.79444855952818,284.1403184457494,390.11308647423135,296.364,14.4705,0.0,0.646146958128558,0.0,0.31123080023469946,0.004294014883909196,0.0,165.97575,1.93525,,,,,0.6557712711870749,8.068820429860924,0.052820157353028675,5.6696321954126265,0.03281315864087203,0.005514741062795927,0.002752494065533829,0.0,0.0,0.0,0.0,108.8505,1341.93125,8.79775,10.93875,0.06,0.46,4
9,Dak Prescott,DAL,QB,67.0,1.0,261.0786456042999,158.9160000000001,266.99,354.7681988194237,260.32316000000003,14.65775,0.0,0.7698271692479056,0.8823876972803135,0.0,0.12499274583624544,511.43575,0.0,59.56175,0.6665242958738617,7.3529151953618115,0.04655549071538474,0.017711025652720515,,,,3.8678250909669303,0.0440582371318,0.009938871579132409,0.004960647241304052,341.01275,3765.82275,23.76875,9.129,0.0,0.0,0.0,226.0525,2.65675,2.83625,3
10,Lamar Jackson,BAL,QB,59.0,1.0,256.4505996938613,121.37605253336176,262.1280262666809,366.4856193313611,239.271,14.53675,0.0,0.775312102648771,0.6798826959936348,0.0,0.24221285270359783,332.05175,0.0,126.24775,0.648646830649046,7.366488501700236,0.044164956740104386,0.01884694862735811,,,,5.235116249797137,0.04724414255908639,0.012823623880954753,0.006400472520657314,215.454,2448.11875,14.62875,6.251,0.0,0.0,0.0,655.3175,5.93775,2.9125,4
11,Trevor Lawrence,JAX,QB,94.0,1.0,255.09758061447553,109.12540432497708,264.92063016590436,362.072,284.927515,14.88125,0.0,0.8021453800717289,0.8280820132300459,0.0,0.2561851227121103,466.7045,0.0,117.45925,0.6366447162437869,7.236238835900769,0.04472351142523199,0.02028619495971513,,,,4.2274636431139205,0.05918368990688337,0.008895622503545078,0.004439945207114266,297.12725,3366.91725,20.84025,9.473,0.0,0.0,0.0,497.29825,6.8785,2.5825,5
12,Christian McCaffrey,SF,RB,6.0,1.0,251.75986020585472,107.57241628851112,259.5266109238194,377.8,255.8176,13.9525,0.0,0.549508524149677,0.0,0.13202776810698702,0.5111774822972822,0.0,66.779,244.90875,,,,,0.7869484841526085,6.288605662280257,0.0360331126761485,4.090433818777812,0.03301684979037499,0.005243121541622666,0.002616924487270892,0.0,0.0,0.0,0.0,52.49775,419.7025,2.40225,1001.736,8.06075,0.801,3
13,CeeDee Lamb,DAL,WR,10.0,1.0,248.54313191456566,122.97000000000001,258.8525543191152,356.4659346306001,245.32727500000001,14.155,0.0,0.585766510189733,0.0,0.2547909566919858,0.0017428448718310357,0.0,140.74975,0.8135,,,,,0.6288328458130099,8.494536820981143,0.04460469128881627,5.866890977682002,0.03343009215641824,0.0037125145373041795,0.001852974439919948,0.0,0.0,0.0,0.0,88.402,1195.48725,6.209,4.8205,0.0265,0.25925,5
14,Jayden Daniels,WAS,QB,73.0,1.0,246.66307836995367,106.37781610714734,256.0717545966551,354.66998273033965,230.77024,14.44375,0.0,0.7267530911240033,0.5745913358015324,0.0,0.304338593635644,295.5645,0.0,141.65375,0.6450837781607638,7.067899380612407,0.04130386151467658,0.020515710555657013,,,,5.027426052657311,0.053836345436591375,0.011909117610389493,0.005944028046844038,190.61425,2075.09725,12.18075,6.031,0.0,0.0,0.0,703.1985,7.66275,2.5955,6
15,Justin Herbert,LAC,QB,107.0,1.0,246.45231428412097,136.5031376539715,257.8644826762771,344.44142925040416,259.027105,14.955,0.0,0.8105759543794105,0.8459315586418316,0.0,0.17660942300206056,489.7425,0.0,80.504,0.6548703278302033,7.161863261824226,0.04442561955768666,0.019392818007200472,,,,4.341502294443003,0.046127782133836705,0.011804855390385071,0.005891989131770108,320.7885,3511.4745,21.67225,9.4755,0.0,0.0,0.0,350.36125,3.7535,3.3635,7
16,Drake London,ATL,WR,13.0,1.0,245.65534106868392,122.39770208383908,253.74357197006032,352.12750040035394,257.5295,14.0185,0.0,0.6124018306421372,0.0,0.2843723045256294,0.010040790415758161,0.0,146.039,4.7415,,,,,0.6172611579354564,8.210906160036014,0.051505705806568276,5.156031337054206,0.030226063975491615,0.006571389883146337,0.0032798841232445854,0.0,0.0,0.0,0.0,90.14025,1200.2525,7.53125,23.105,0.14375,0.49825,6
17,Jalen Hurts,PHI,QB,80.0,1.0,243.21473277301303,97.93400000000003,257.151765756909,348.21998491346307,223.915505,14.90625,0.0,0.7988274793640058,0.723772153138002,0.0,0.18676710112255068,383.0475,0.0,92.979,0.646080427081924,7.112565258824752,0.04385521612831941,0.01828556233175758,,,,4.070280278343291,0.052907889663456185,0.012350873938106258,0.006164515583177421,247.49375,2724.1895,16.8155,6.944,0.0,0.0,0.0,376.76925,4.95625,2.92025,8
18,Baker Mayfield,TB,QB,133.0,1.0,242.0391157457342,135.39150215561887,249.57485907200947,329.1192885812484,256.69982500000003,14.9975,0.0,0.8057607753185757,0.8934189256336067,0.0,0.13946645738917188,521.8965,0.0,63.8335,0.650370945858867,7.164498019590012,0.04399315153299137,0.018450345964741897,,,,4.590603653538417,0.040004006088964685,0.01644778150792076,0.008209346635904642,339.555,3728.89125,22.96725,9.57775,0.0,0.0,0.0,294.25175,2.5245,4.87075,9
19,Caleb Williams,CHI,QB,90.0,1.0,240.58706521514185,97.80385535330393,256.90999999999997,335.51730685141166,230.12313,15.132,0.0,0.8250875512029536,0.8369886317659925,0.0,0.12991179292965332,442.672,0.0,63.31825,0.6317365608792158,7.209489525355878,0.04405781433422493,0.0204614725943085,,,,4.955099116476618,0.047405177502222576,0.012246944664477758,0.006112642846880233,279.718,3190.69825,19.39325,9.091,0.0,0.0,0.0,312.682,3.00925,3.10975,10
20,Justin Jefferson,MIN,WR,11.0,1.0,240.2448562816064,116.92000000000003,252.05140076688366,346.9061275753878,227.78592500000002,14.2735,0.0,0.6580869829439051,0.0,0.27350779938217806,0.0025403458177632424,0.0,134.28875,1.142,,,,,0.6407967184399219,8.026229549943128,0.041679127039935676,5.470121877671674,0.03149017934531418,0.0035175414649225357,0.0017556603106510592,0.0,0.0,0.0,0.0,86.15375,1076.218,5.6065,6.27875,0.03625,0.237,7
21,Jaxson Dart,NYG,QB,124.0,1.0,239.21616969657748,126.11655969577592,249.61200824909452,337.2024414510952,258.92187,14.91325,0.0,0.7899804169464505,0.7615061254873772,0.0,0.25474859754722196,413.477,0.0,118.20725,0.6367559210742564,7.024769058364277,0.04141322723599641,0.019718141963217046,,,,4.638628360710075,0.057990051043087805,0.011732614344817958,0.005855932488865713,263.34925,2910.2455,17.289,8.1145,0.0,0.0,0.0,549.2655,6.82125,3.1345,11
22,Bo Nix,DEN,QB,118.0,1.0,237.3498049719138,129.61017077804254,250.52363088080915,334.764,257.611675,15.1985,0.0,0.8241217183622855,0.872910958669477,0.0,0.16505910297890464,491.46175,0.0,75.13,0.6531010212567837,7.136563044713046,0.04455871281358246,0.020234913696937747,,,,4.46782702954288,0.04704493111744191,0.007334107935100254,0.0036605687080280298,321.014,3499.00375,21.8305,9.947,0.0,0.0,0.0,336.17525,3.46975,2.10625,12
