overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
1,1,Jahmyr Gibbs,RB,DET,NYJ,23.582,12.868,22.712,35.83,0.984,0.0
2,1,Josh Allen,QB,BUF,LAC,23.286,11.768,23.611,34.71,0.971,0.0
3,2,Lamar Jackson,QB,BAL,DAL,20.775,7.819,21.174,32.277,0.943,0.0
4,2,Kenneth Walker III,RB,KC,MIA,20.399,9.563,19.662,32.196,0.986,0.0
5,1,Amon-Ra St. Brown,WR,DET,NYJ,20.27,9.381,19.208,32.644,0.981,0.0
6,3,Bijan Robinson,RB,ATL,GB,20.108,8.778,19.605,32.371,0.957,0.0
7,2,Jaxon Smith-Njigba,WR,SEA,WAS,19.665,9.132,18.468,32.197,0.984,0.0
8,3,Brock Purdy,QB,SF,ARI,19.539,5.586,20.135,31.736,0.923,0.0
9,4,Jonathan Taylor,RB,IND,HOU,19.274,7.893,18.395,30.883,0.983,0.0
10,3,Justin Jefferson,WR,MIN,TB,18.523,7.396,17.657,31.213,0.976,0.0
11,5,Christian McCaffrey,RB,SF,ARI,18.251,7.001,17.512,30.294,0.966,0.0
12,4,Dak Prescott,QB,DAL,BAL,18.057,6.802,18.721,28.009,0.964,0.0
13,5,Patrick Mahomes,QB,KC,MIA,17.872,3.841,18.475,29.481,0.913,0.0
14,6,Derrick Henry,RB,BAL,DAL,17.61,6.585,16.805,29.136,0.979,0.0
15,4,Ja'Marr Chase,WR,CIN,PIT,17.311,6.449,16.377,29.562,0.975,0.0
16,6,Jared Goff,QB,DET,NYJ,17.285,7.091,16.719,27.451,0.97,0.0
17,7,Jalen Hurts,QB,PHI,CHI,17.092,4.16,17.553,28.06,0.922,0.0
18,7,Ashton Jeanty,RB,LV,NO,17.001,6.038,16.215,28.884,0.977,0.0
19,8,Drake Maye,QB,NE,JAX,16.92,5.255,17.364,27.04,0.943,0.0
20,9,Joe Burrow,QB,CIN,PIT,16.843,5.138,17.415,26.925,0.94,0.0
21,8,Chase Brown,RB,CIN,PIT,16.704,5.299,16.161,28.67,0.965,0.0
22,10,Tyler Shough,QB,NO,LV,16.673,6.503,16.679,26.701,0.949,0.0
23,11,Trevor Lawrence,QB,JAX,NE,16.659,5.061,16.727,27.282,0.948,0.0
24,12,C.J. Stroud,QB,HOU,IND,16.571,5.949,16.675,26.94,0.95,0.0
25,5,CeeDee Lamb,WR,DAL,BAL,16.477,5.703,15.088,29.373,0.982,0.0
