overall_rank,pos_rank,player,position,team,games_left,rest_of_season_points,points_per_game,p10,p50,p90,adp_rank
1,1,Jahmyr Gibbs,RB,DET,15.0,303.779,20.252,194.257,309.101,398.843,1.0
2,1,Jaxon Smith-Njigba,WR,SEA,15.0,278.063,18.538,182.619,280.843,367.67,5.0
3,1,Josh Allen,QB,BUF,15.0,273.011,18.201,179.977,278.12,349.504,34.0
4,2,Bijan Robinson,RB,ATL,15.0,271.565,18.104,162.654,276.998,367.62,2.0
5,2,Amon-Ra St. Brown,WR,DET,15.0,265.208,17.681,167.238,270.059,355.395,7.0
6,3,Ja'Marr Chase,WR,CIN,15.0,254.235,16.949,160.165,256.46,350.123,4.0
7,4,Puka Nacua,WR,LA,15.0,243.242,16.216,130.964,242.128,354.697,3.0
8,3,Jonathan Taylor,RB,IND,15.0,233.021,15.535,133.862,239.117,325.447,8.0
9,5,CeeDee Lamb,WR,DAL,15.0,230.273,15.352,130.638,238.304,322.406,10.0
10,4,Christian McCaffrey,RB,SF,15.0,229.197,15.28,123.176,236.846,329.749,6.0
11,2,Dak Prescott,QB,DAL,15.0,228.711,15.247,133.013,230.586,320.961,67.0
12,3,Lamar Jackson,QB,BAL,15.0,228.163,15.211,134.639,231.013,319.671,59.0
13,4,Joe Burrow,QB,CIN,15.0,227.712,15.181,131.318,231.849,317.601,57.0
14,5,Brock Purdy,QB,SF,15.0,226.782,15.119,126.339,239.561,310.451,87.0
15,6,Drake Maye,QB,NE,15.0,222.339,14.823,115.096,228.724,321.432,51.0
16,6,Justin Jefferson,WR,MIN,15.0,221.85,14.79,124.817,229.812,306.965,11.0
17,7,Jared Goff,QB,DET,15.0,221.37,14.758,116.934,233.415,314.576,104.0
18,8,Matthew Stafford,QB,LA,15.0,221.17,14.745,102.546,228.627,316.875,78.0
19,9,Caleb Williams,QB,CHI,15.0,215.812,14.387,95.397,228.466,299.097,90.0
20,5,Derrick Henry,RB,BAL,15.0,213.673,14.245,109.161,222.816,307.846,16.0
21,10,Patrick Mahomes,QB,KC,15.0,213.527,14.235,96.208,228.901,301.056,106.0
22,11,Jalen Hurts,QB,PHI,15.0,212.297,14.153,83.799,221.174,315.122,80.0
23,7,Chris Olave,WR,NO,15.0,211.045,14.07,116.104,217.405,295.948,19.0
24,12,Tyler Shough,QB,NO,15.0,208.47,13.898,112.711,213.439,290.969,147.0
25,6,De'Von Achane,RB,MIA,15.0,206.357,13.757,101.154,210.253,302.358,9.0
26,7,Kenneth Walker III,RB,KC,15.0,206.041,13.736,103.552,211.178,302.464,23.0
27,8,Chase Brown,RB,CIN,15.0,205.455,13.697,110.538,211.57,297.222,14.0
28,9,James Cook,RB,BUF,15.0,204.317,13.621,104.999,208.869,300.667,12.0
29,13,Trevor Lawrence,QB,JAX,15.0,203.248,13.55,79.623,210.28,294.252,94.0
30,14,Jayden Daniels,QB,WAS,15.0,200.197,13.346,81.198,206.171,305.816,73.0
31,10,Ashton Jeanty,RB,LV,15.0,199.598,13.307,99.038,206.788,290.132,21.0
32,8,DeVonta Smith,WR,PHI,15.0,194.421,12.961,108.809,198.964,271.574,30.0
33,15,Baker Mayfield,QB,TB,15.0,193.452,12.897,96.799,197.492,277.898,133.0
34,16,Bo Nix,QB,DEN,15.0,193.164,12.878,83.507,202.944,284.138,118.0
35,9,Drake London,WR,ATL,15.0,191.525,12.768,93.393,191.36,287.668,13.0
36,10,Davante Adams,WR,LA,15.0,188.468,12.565,99.683,195.764,264.617,42.0
37,17,Jaxson Dart,QB,NYG,15.0,187.634,12.509,82.027,193.854,270.834,124.0
38,1,Trey McBride,TE,ARI,15.0,187.069,12.471,96.458,187.621,275.0,29.0
39,11,Rashee Rice,WR,KC,15.0,187.059,12.471,91.941,188.714,276.028,15.0
